,sent_id,token,is_stop,is_punct
0,0,on,True,False
1,0,friday,False,False
2,0,evening,False,False
3,0,last,False,False
4,0,i,True,False
5,0,received,False,False
6,0,from,True,False
7,0,his,True,False
8,0,majesty,False,False
9,0,the,True,False
10,0,mission,False,False
11,0,to,True,False
12,0,form,False,False
13,0,a,True,False
14,0,new,False,False
15,0,administration,False,False
16,0,.,False,True
17,1,it,True,False
18,1,was,True,False
19,1,the,True,False
20,1,evident,False,False
21,1,will,True,False
22,1,of,True,False
23,1,',False,True
24,1,parliament,False,False
25,1,and,True,False
26,1,the,True,False
27,1,nation,False,False
28,1,that,True,False
29,1,this,True,False
30,1,should,True,False
31,1,be,True,False
32,1,conceived,False,False
33,1,on,True,False
34,1,the,True,False
35,1,broadest,False,False
36,1,possible,False,False
37,1,basis,False,False
38,1,and,True,False
39,1,that,True,False
40,1,it,True,False
41,1,should,True,False
42,1,include,False,False
43,1,all,True,False
44,1,parties,False,False
45,1,.,False,True
46,2,i,True,False
47,2,have,True,False
48,2,already,False,False
49,2,completed,False,False
50,2,the,True,False
51,2,most,True,False
52,2,important,False,False
53,2,part,False,False
54,2,of,True,False
55,2,this,True,False
56,2,task,False,False
57,2,.,False,True
58,3,a,True,False
59,3,war,False,False
60,3,cabinet,False,False
61,3,has,True,False
62,3,been,True,False
63,3,formed,False,False
64,3,of,True,False
65,3,five,False,False
66,3,members,False,False
67,3,",",False,True
68,3,representing,False,False
69,3,",",False,True
70,3,with,True,False
71,3,the,True,False
72,3,labour,False,False
73,3,",",False,True
74,3,opposition,False,False
75,3,",",False,True
76,3,and,True,False
77,3,liberals,False,False
78,3,",",False,True
79,3,the,True,False
80,3,unity,False,False
81,3,of,True,False
82,3,the,True,False
83,3,nation,False,False
84,3,.,False,True
85,4,it,True,False
86,4,was,True,False
87,4,necessary,False,False
88,4,that,True,False
89,4,this,True,False
90,4,should,True,False
91,4,be,True,False
92,4,done,False,False
93,4,in,True,False
94,4,one,False,False
95,4,single,False,False
96,4,day,False,False
97,4,on,True,False
98,4,account,False,False
99,4,of,True,False
100,4,the,True,False
101,4,extreme,False,False
102,4,urgency,False,False
103,4,and,True,False
104,4,rigor,False,False
105,4,of,True,False
106,4,events,False,False
107,4,.,False,True
108,5,other,True,False
109,5,key,False,False
110,5,positions,False,False
111,5,were,True,False
112,5,filled,False,False
113,5,yesterday,False,False
114,5,.,False,True
115,6,i,True,False
116,6,am,True,False
117,6,submitting,False,False
118,6,a,True,False
119,6,further,True,False
120,6,list,False,False
121,6,to,True,False
122,6,the,True,False
123,6,king,False,False
124,6,tonight,False,False
125,6,.,False,True
126,7,i,True,False
127,7,hope,False,False
128,7,to,True,False
129,7,complete,False,False
130,7,the,True,False
131,7,appointment,False,False
132,7,of,True,False
133,7,principal,False,False
134,7,ministers,False,False
135,7,during,True,False
136,7,tomorrow,False,False
137,7,.,False,True
138,8,the,True,False
139,8,appointment,False,False
140,8,of,True,False
141,8,other,True,False
142,8,ministers,False,False
143,8,usually,False,False
144,8,takes,False,False
145,8,a,True,False
146,8,little,False,False
147,8,longer,False,False
148,8,.,False,True
149,9,i,True,False
150,9,trust,False,False
151,9,when,True,False
152,9,parliament,False,False
153,9,meets,False,False
154,9,again,True,False
155,9,this,True,False
156,9,part,False,False
157,9,of,True,False
158,9,my,True,False
159,9,task,False,False
160,9,will,True,False
161,9,be,True,False
162,9,completed,False,False
163,9,and,True,False
164,9,that,True,False
165,9,the,True,False
166,9,administration,False,False
167,9,will,True,False
168,9,be,True,False
169,9,complete,False,False
170,9,in,True,False
171,9,all,True,False
172,9,respects,False,False
173,9,.,False,True
174,10,i,True,False
175,10,considered,False,False
176,10,it,True,False
177,10,in,True,False
178,10,the,True,False
179,10,public,False,False
180,10,interest,False,False
181,10,to,True,False
182,10,suggest,False,False
183,10,to,True,False
184,10,the,True,False
185,10,speaker,False,False
186,10,that,True,False
187,10,the,True,False
188,10,house,False,False
189,10,should,True,False
190,10,be,True,False
191,10,summoned,False,False
192,10,today,False,False
193,10,.,False,True
194,11,at,True,False
195,11,the,True,False
196,11,end,False,False
197,11,of,True,False
198,11,today,False,False
199,11,'s,False,False
200,11,proceedings,False,False
201,11,",",False,True
202,11,the,True,False
203,11,adjournment,False,False
204,11,of,True,False
205,11,the,True,False
206,11,house,False,False
207,11,will,True,False
208,11,be,True,False
209,11,proposed,False,False
210,11,until,True,False
211,11,may,False,False
212,11,21,False,False
213,11,with,True,False
214,11,provision,False,False
215,11,for,True,False
216,11,earlier,False,False
217,11,meeting,False,False
218,11,if,True,False
219,11,need,False,False
220,11,be,True,False
221,11,.,False,True
222,12,business,False,False
223,12,for,True,False
224,12,that,True,False
225,12,will,True,False
226,12,be,True,False
227,12,notified,False,False
228,12,to,True,False
229,12,mps,False,False
230,12,at,True,False
231,12,the,True,False
232,12,earliest,False,False
233,12,opportunity,False,False
234,12,.,False,True
235,13,i,True,False
236,13,now,True,False
237,13,invite,False,False
238,13,the,True,False
239,13,house,False,False
240,13,by,True,False
241,13,a,True,False
242,13,resolution,False,False
243,13,to,True,False
244,13,record,False,False
245,13,its,True,False
246,13,approval,False,False
247,13,of,True,False
248,13,the,True,False
249,13,steps,False,False
250,13,taken,False,False
251,13,and,True,False
252,13,declare,False,False
253,13,its,True,False
254,13,confidence,False,False
255,13,in,True,False
256,13,the,True,False
257,13,new,False,False
258,13,government,False,False
259,13,.,False,True
260,14,the,True,False
261,14,resolution,False,False
262,14,:,False,True
263,14,'',False,False
264,14,that,True,False
265,14,this,True,False
266,14,house,False,False
267,14,welcomes,False,False
268,14,the,True,False
269,14,formation,False,False
270,14,of,True,False
271,14,a,True,False
272,14,government,False,False
273,14,representing,False,False
274,14,the,True,False
275,14,united,False,False
276,14,and,True,False
277,14,inflexible,False,False
278,14,resolve,False,False
279,14,of,True,False
280,14,the,True,False
281,14,nation,False,False
282,14,to,True,False
283,14,prosecute,False,False
284,14,the,True,False
285,14,war,False,False
286,14,with,True,False
287,14,germany,False,False
288,14,to,True,False
289,14,a,True,False
290,14,victorious,False,False
291,14,conclusion,False,False
292,14,.,False,True
293,14,'',False,False
294,15,to,True,False
295,15,form,False,False
296,15,an,True,False
297,15,administration,False,False
298,15,of,True,False
299,15,this,True,False
300,15,scale,False,False
301,15,and,True,False
302,15,complexity,False,False
303,15,is,True,False
304,15,a,True,False
305,15,serious,False,False
306,15,undertaking,False,False
307,15,in,True,False
308,15,itself,True,False
309,15,.,False,True
310,16,but,True,False
311,16,we,True,False
312,16,are,True,False
313,16,in,True,False
314,16,the,True,False
315,16,preliminary,False,False
316,16,phase,False,False
317,16,of,True,False
318,16,one,False,False
319,16,of,True,False
320,16,the,True,False
321,16,greatest,False,False
322,16,battles,False,False
323,16,in,True,False
324,16,history,False,False
325,16,.,False,True
326,17,we,True,False
327,17,are,True,False
328,17,in,True,False
329,17,action,False,False
330,17,at,True,False
331,17,many,False,False
332,17,other,True,False
333,17,points-in,False,False
334,17,norway,False,False
335,17,and,True,False
336,17,in,True,False
337,17,holland-and,False,False
338,17,we,True,False
339,17,have,True,False
